movie_name,released_Year,runtime,Certificate,rating,vote_count,meta_score,director
Husbands,1970,2h 34m,PG-13,7.1,7.6K,66,John Cassavetes
Thirst,1957,2h 26m,Not Rated,8.3,7.6K,,Guru Dutt
The Philadelphia Story,1940,1h 52m,Approved,7.8,75K,96,George Cukor
In the Realm of the Senses,1976,1h 49m,NC-17,6.6,24K,,Nagisa Ôshima
The Kid,1921,1h 8m,Passed,8.2,139K,,Charles Chaplin
Underground,1995,2h 47m,Not Rated,8.0,62K,79,Emir Kusturica
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,1.4M,82,Irvin Kershner
Broken Blossoms,1919,1h 30m,Not Rated,7.2,11K,,D.W. Griffith
Bonnie and Clyde,1967,1h 51m,R,7.7,123K,86,Arthur Penn
A Time to Live and a Time to Die,1985,2h 18m,Not Rated,7.5,3.7K,,Hsiao-Hsien Hou
Amadeus,1984,2h 40m,PG,8.4,442K,87,Milos Forman
The King of Comedy,1982,1h 49m,PG,7.8,124K,73,Martin Scorsese
Tie Xi Qu: West of the Tracks,2002,9h 11m,,8.2,1.4K,,Wang Bing
A Touch of Zen,1971,3h 20m,Not Rated,7.5,7.6K,,King Hu
The Wages of Fear,1953,2h 36m,Not Rated,8.1,69K,85,Henri-Georges Clouzot
Kiss Me Deadly,1955,1h 46m,Approved,7.5,23K,,Robert Aldrich
Midnight Cowboy,1969,1h 53m,R,7.8,124K,79,John Schlesinger
Weekend,1967,1h 45m,Not Rated,6.9,16K,,Jean-Luc Godard
The Double Life of Véronique,1991,1h 38m,R,7.7,54K,86,Krzysztof Kieslowski
El,1953,1h 22m,Approved,7.9,6.7K,,Luis Buñuel
The Puppetmaster,1993,2h 22m,,7.1,2.1K,,Hsiao-Hsien Hou
High and Low,1963,2h 23m,Not Rated,8.4,58K,90,Akira Kurosawa
The Cloud-Capped Star,1960,2h 6m,Not Rated,7.8,3.4K,,Ritwik Ghatak
Out 1,1971,2h 56m,Not Rated,7.5,1.6K,87,Jacques Rivette
The Last Picture Show,1971,1h 58m,R,8.0,54K,93,Peter Bogdanovich
West Side Story,1961,2h 33m,Approved,7.6,123K,86,Jerome Robbins
Dog Day Afternoon,1975,2h 5m,R,8.0,279K,86,Sidney Lumet
Get Out,2017,1h 44m,R,7.8,743K,85,Jordan Peele
The Tree of Wooden Clogs,1978,3h 6m,Not Rated,7.8,7.8K,,Ermanno Olmi
Night of the Living Dead,1968,1h 36m,R,7.8,144K,89,George A. Romero
Mad Max: Fury Road,2015,2h,,8.1,1.1M,90,George Miller
How Green Was My Valley,1941,1h 58m,Approved,7.7,27K,88,John Ford
Some Came Running,1958,2h 17m,Approved,7.2,7.7K,68,Vincente Minnelli
Last Tango in Paris,1972,2h 9m,NC-17,6.8,60K,77,Bernardo Bertolucci
Muriel,1963,1h 55m,Not Rated,7.0,3.9K,,Alain Resnais
Heaven's Gate,1980,3h 39m,R,6.7,18K,57,Michael Cimino
Make Way for Tomorrow,1937,1h 31m,Approved,8.2,9.9K,,Leo McCarey
The Cranes Are Flying,1957,1h 35m,Not Rated,8.3,21K,76,Mikhail Kalatozov
The Thin Blue Line,1988,1h 41m,Not Rated,7.9,27K,79,Errol Morris
Written on the Wind,1956,1h 39m,Approved,7.3,14K,86,Douglas Sirk
It Happened One Night,1934,1h 45m,Approved,8.1,115K,87,Frank Capra
"I Was Born, But...",1932,1h 30m,Not Rated,7.9,6.4K,91,Yasujirô Ozu
Fitzcarraldo,1982,2h 38m,PG,8.0,40K,,Werner Herzog
Marnie,1964,2h 10m,PG,7.1,56K,73,Alfred Hitchcock
Yojimbo,1961,1h 50m,Not Rated,8.2,136K,93,Akira Kurosawa
Harold and Maude,1971,1h 31m,PG,7.9,83K,62,Hal Ashby
Through the Olive Trees,1994,1h 43m,G,7.7,11K,,Abbas Kiarostami
Peeping Tom,1960,1h 41m,Not Rated,7.6,41K,,Michael Powell
The Silence of the Lambs,1991,1h 58m,R,8.6,1.6M,86,Jonathan Demme
Two-Lane Blacktop,1971,1h 42m,R,7.2,14K,89,Monte Hellman
Lost Highway,1997,2h 14m,R,7.6,157K,53,David Lynch
Stranger Than Paradise,1984,1h 29m,R,7.4,42K,86,Jim Jarmusch
An Affair to Remember,1957,1h 55m,Approved,7.4,34K,71,Leo McCarey
The Killing of a Chinese Bookie,1976,2h 15m,R,7.3,15K,65,John Cassavetes
Teorema,1968,1h 38m,Not Rated,7.0,16K,,Pier Paolo Pasolini
The White Ribbon,2009,2h 24m,R,7.8,79K,84,Michael Haneke
Aliens,1986,2h 17m,R,8.4,798K,84,James Cameron
Tristana,1970,1h 39m,PG,7.4,13K,93,Luis Buñuel
Stromboli,1950,1h 21m,Approved,7.2,8.3K,,Roberto Rossellini
Safe,1995,1h 59m,R,7.1,18K,76,Todd Haynes
The Hour of the Furnaces,1968,4h 20m,Unrated,7.6,1.2K,,Octavio Getino
The Elephant Man,1980,2h 4m,PG,8.2,267K,78,David Lynch
My Uncle,1958,1h 56m,Not Rated,7.7,25K,84,Jacques Tati
This Is Spinal Tap,1984,1h 22m,R,7.9,150K,92,Rob Reiner
The Turin Horse,2011,2h 35m,Not Rated,7.7,20K,80,Béla Tarr
Limit,1931,1h 54m,Not Rated,7.0,3K,,Mario Peixoto
Nostalghia,1983,2h 5m,Not Rated,7.9,31K,74,Andrei Tarkovsky
In a Year with 13 Moons,1978,2h 4m,Not Rated,7.4,4.9K,,Rainer Werner Fassbinder
Woman in the Dunes,1964,2h 27m,Not Rated,8.4,24K,,Hiroshi Teshigahara
I Know Where I'm Going!,1945,1h 32m,Approved,7.4,10K,86,Michael Powell
Orlando,1992,1h 34m,PG-13,7.1,19K,75,Sally Potter
Crimes and Misdemeanors,1989,1h 44m,PG-13,7.8,62K,77,Woody Allen
The Headless Woman,2008,1h 27m,Unrated,6.5,5.9K,81,Lucrecia Martel
Opening Night,1977,2h 24m,PG-13,7.9,13K,69,John Cassavetes
The Thin Blue Line,1988,1h 41m,Not Rated,7.9,27K,79,Errol Morris
Suspiria,1977,1h 32m,R,7.3,110K,79,Dario Argento
Dogville,2003,2h 51m,R,8.0,162K,61,Lars von Trier
The Flowers of St. Francis,1950,1h 25m,Not Rated,7.3,4.1K,,Roberto Rossellini
The Birth of a Nation,1915,3h 15m,TV-PG,6.1,27K,,D.W. Griffith
Splendor in the Grass,1961,2h 4m,Approved,7.7,23K,74,Elia Kazan
The Tenant,1976,2h 6m,R,7.5,49K,71,Roman Polanski
Dawn of the Dead,1978,2h 7m,Unrated,7.8,132K,71,George A. Romero
Eyes Without a Face,1960,1h 30m,Approved,7.6,37K,90,Georges Franju
Snow White and the Seven Dwarfs,1937,1h 23m,Approved,7.6,221K,96,William Cottrell
Orpheus,1950,1h 52m,Not Rated,7.8,14K,,Jean Cocteau
The Awful Truth,1937,1h 30m,Approved,7.7,22K,87,Leo McCarey
Day for Night,1973,1h 56m,PG,8.0,25K,,François Truffaut
Under the Skin,2013,1h 48m,R,6.3,163K,83,Jonathan Glazer
1900,1976,5h 17m,Unrated,7.6,28K,70,Bernardo Bertolucci
Miracle in Milan,1951,1h 37m,Not Rated,7.6,8.9K,78,Vittorio De Sica
Fantasia,1940,2h 4m,G,7.7,107K,96,James Algar
Lost in Translation,2003,1h 42m,R,7.7,505K,91,Sofia Coppola
Chelsea Girls,1966,3h 30m,Unrated,5.7,1.6K,,Paul Morrissey
Salvatore Giuliano,1962,2h 5m,Not Rated,7.3,4.5K,,Francesco Rosi
Le Plaisir,1952,1h 37m,Not Rated,7.5,5.5K,,Max Ophüls
Bride of Frankenstein,1935,1h 15m,Approved,7.8,55K,95,James Whale
Holy Motors,2012,1h 55m,Not Rated,7.0,50K,85,Leos Carax
Europe '51,1952,1h 58m,Not Rated,7.4,5K,,Roberto Rossellini
Happiness,1965,1h 20m,Not Rated,7.6,10K,,Agnès Varda
A Star Is Born,1954,2h 34m,PG,7.5,20K,89,George Cukor
Possession,1981,2h 4m,R,7.3,48K,75,Andrzej Zulawski
Days of Being Wild,1990,1h 34m,Not Rated,7.4,27K,93,Wong Kar-Wai
All the President's Men,1976,2h 18m,PG,7.9,130K,84,Alan J. Pakula
Shadows of Forgotten Ancestors,1965,1h 37m,,7.8,8.9K,,Sergei Parajanov
Scenes from a Marriage,1974,2h 49m,PG,8.3,9.2K,,Ingmar Bergman
The Scarlet Empress,1934,1h 44m,Approved,7.5,7.5K,,Josef von Sternberg
An Angel at My Table,1990,2h 38m,R,7.4,8.9K,79,Jane Campion
Flowers of Shanghai,1998,1h 53m,Unrated,7.3,4.3K,73,Hsiao-Hsien Hou
Winter Light,1963,1h 21m,Not Rated,8.0,28K,,Ingmar Bergman
The Crime of Monsieur Lange,1936,1h 17m,Not Rated,7.3,3.8K,,Jean Renoir
Ivan's Childhood,1962,1h 35m,Not Rated,8.0,41K,,Andrei Tarkovsky
The Wind,1928,1h 35m,Not Rated,8.0,7.4K,,Victor Sjöström
The Long Goodbye,1973,1h 52m,R,7.5,40K,87,Robert Altman
French Cancan,1955,1h 42m,Not Rated,7.3,4.6K,,Jean Renoir
Accattone,1961,1h 57m,Not Rated,7.6,10K,,Pier Paolo Pasolini
If....,1968,1h 51m,R,7.4,26K,,Lindsay Anderson
The Innocents,1961,1h 40m,Approved,7.7,34K,88,Jack Clayton
The Shawshank Redemption,1994,2h 22m,R,9.3,3M,82,Frank Darabont
The Central Region,1971,3h,,6.3,620,,Michael Snow
The Celebration,1998,1h 41m,R,8.0,96K,82,Thomas Vinterberg
Limelight,1952,2h 17m,G,8.0,23K,84,Charles Chaplin
Koyaanisqatsi,1982,1h 26m,Not Rated,8.2,43K,72,Godfrey Reggio
A Trip to the Moon,1902,13m,TV-G,8.1,58K,,Georges Méliès
Shoot the Piano Player,1960,1h 32m,Not Rated,7.4,21K,,François Truffaut
Twenty Years Later,1984,1h 59m,,8.3,1.8K,,Eduardo Coutinho
October (Ten Days that Shook the World),1928,1h 35m,,7.4,8.7K,,Grigoriy Aleksandrov
Listen to Britain,1942,20m,Not Rated,6.5,1.9K,,Humphrey Jennings
In Vanda's Room,2000,2h 51m,Not Rated,7.0,1.8K,,Pedro Costa
Phantom Thread,2017,2h 10m,R,7.4,150K,90,Paul Thomas Anderson
Casino,1995,2h 58m,R,8.2,582K,73,Martin Scorsese
Pinocchio,1940,1h 28m,Approved,7.5,164K,99,Norman Ferguson
Naked,1993,2h 11m,Not Rated,7.7,46K,85,Mike Leigh
Paris Is Burning,1990,1h 18m,R,8.2,19K,82,Jennie Livingston
Songs from the Second Floor,2000,1h 38m,Not Rated,7.5,21K,77,Roy Andersson
To Our Loves,1983,1h 39m,R,7.1,7.4K,,Maurice Pialat
La Terra Trema,1948,2h 40m,Not Rated,7.8,5.8K,,Luchino Visconti
The Cameraman,1928,1h 16m,Passed,8.0,14K,,Edward Sedgwick
The Palm Beach Story,1942,1h 28m,Approved,7.5,13K,,Preston Sturges
A.I. Artificial Intelligence,2001,2h 26m,PG-13,7.2,329K,65,Steven Spielberg
The Act of Killing,2012,1h 57m,Not Rated,8.2,42K,92,Joshua Oppenheimer
Grave of the Fireflies,1988,1h 28m,Not Rated,8.5,335K,94,Isao Takahata
Harlan County U.S.A.,1976,1h 43m,PG,8.2,6.9K,80,Barbara Kopple
Network,1976,2h 1m,R,8.1,176K,83,Sidney Lumet
Syndromes and a Century,2006,1h 45m,,7.3,4.7K,71,Apichatpong Weerasethakul
Talk to Her,2002,1h 52m,R,7.9,119K,86,Pedro Almodóvar
Platform,2000,2h 34m,,7.4,3.2K,76,Jia Zhang-ke
Barren Lives,1963,1h 43m,Not Rated,7.5,3.1K,,Nelson Pereira dos Santos
Wagon Master,1950,1h 26m,Approved,7.1,5.7K,,John Ford
Carrie,1976,1h 38m,R,7.4,215K,86,Brian De Palma
Senso,1954,2h 3m,Not Rated,7.4,8.4K,,Luchino Visconti
Lola,1961,1h 30m,Not Rated,7.4,8K,73,Jacques Demy
High Noon,1952,1h 25m,PG,7.9,113K,89,Fred Zinnemann
Landscape in the Mist,1988,2h 7m,TV-MA,7.9,10K,,Theodoros Angelopoulos
The Dead,1987,1h 23m,PG,7.2,9.2K,,John Huston
Once Upon a Time in Anatolia,2011,2h 37m,Not Rated,7.8,52K,82,Nuri Bilge Ceylan
Dersu Uzala,1975,2h 22m,G,8.2,34K,,Akira Kurosawa
Elephant,2003,1h 21m,R,7.1,99K,70,Gus Van Sant
By the Bluest of Seas,1936,1h 11m,,6.9,1.2K,,Boris Barnet
Zama,2017,1h 55m,Unrated,6.7,7.3K,89,Lucrecia Martel
Raise the Red Lantern,1991,2h 5m,PG,8.1,36K,,Yimou Zhang
Toni Erdmann,2016,2h 42m,R,7.3,53K,93,Maren Ade
Reservoir Dogs,1992,1h 39m,R,8.3,1.1M,81,Quentin Tarantino
Withnail and I,1987,1h 47m,R,7.5,49K,84,Bruce Robinson
"Steamboat Bill, Jr.",1928,1h 10m,Not Rated,7.8,17K,,Charles Reisner
The Bitter Tears of Petra von Kant,1972,2h 4m,Not Rated,7.5,12K,73,Rainer Werner Fassbinder
Blow Out,1981,1h 48m,R,7.4,68K,86,Brian De Palma
Masculine Feminine,1966,1h 43m,Not Rated,7.4,18K,93,Jean-Luc Godard
After Life,1998,1h 59m,Not Rated,7.6,14K,91,Hirokazu Koreeda
Shane,1953,1h 58m,Approved,7.6,45K,85,George Stevens
The Death of Mr. Lazarescu,2005,2h 33m,R,7.8,16K,87,Cristi Puiu
Our Hospitality,1923,1h 5m,Passed,7.7,13K,,John G. Blystone
The Bridge on the River Kwai,1957,2h 41m,PG,8.1,239K,88,David Lean
Secrets & Lies,1996,2h 16m,R,8.0,49K,92,Mike Leigh
A Moment of Innocence,1996,1h 18m,Not Rated,7.7,4.6K,70,Mohsen Makhmalbaf
Five Easy Pieces,1970,1h 38m,R,7.4,42K,85,Bob Rafelson
Marketa Lazarová,1967,2h 42m,Not Rated,7.9,6.3K,,Frantisek Vlácil
Early Summer,1951,2h 5m,Not Rated,8.1,10K,94,Yasujirô Ozu
Twin Peaks,2017,,,8.5,80K,,Mark Frost
Monty Python's Life of Brian,1979,1h 34m,R,8.0,427K,77,Terry Jones
Les Vampires,1915,7h 1m,Not Rated,7.3,5.6K,,Louis Feuillade
To Kill a Mockingbird,1962,2h 9m,Approved,8.3,340K,88,Robert Mulligan
Oldboy,2003,2h,,8.3,664K,78,Park Chan-wook
Twin Peaks: Fire Walk with Me,1992,2h 14m,R,7.3,109K,45,David Lynch
Inland Empire,2006,3h,,6.8,64K,73,David Lynch
Boogie Nights,1997,2h 35m,R,7.9,288K,86,Paul Thomas Anderson
Crash,1996,1h 40m,NC-17,6.4,68K,53,David Cronenberg
Dead Ringers,1988,1h 56m,R,7.2,56K,86,David Cronenberg
The Enigma of Kaspar Hauser,1974,1h 50m,Not Rated,7.7,19K,,Werner Herzog
The Damned,1969,2h 37m,R,7.4,10K,,Luchino Visconti
Pan's Labyrinth,2006,1h 58m,R,8.2,717K,98,Guillermo del Toro
And Life Goes On,1992,1h 35m,Not Rated,7.9,8K,,Abbas Kiarostami
Closely Watched Trains,1966,1h 32m,Not Rated,7.6,14K,,Jirí Menzel
Alice in the Cities,1974,1h 53m,Not Rated,7.8,14K,78,Wim Wenders
Short Cuts,1993,3h 8m,R,7.6,48K,81,Robert Altman
The Hustler,1961,2h 14m,Approved,7.9,88K,90,Robert Rossen
Princess Mononoke,1997,2h 13m,PG-13,8.3,451K,76,Hayao Miyazaki
No Country for Old Men,2007,2h 2m,R,8.2,1.1M,92,Ethan Coen
Die Hard,1988,2h 12m,R,8.2,979K,72,John McTiernan
To Have and Have Not,1944,1h 40m,Approved,7.8,39K,90,Howard Hawks
Yeelen,1987,1h 45m,Not Rated,6.9,2.8K,,Souleymane Cissé
Blue,1993,1h 19m,Not Rated,7.3,2.9K,,Derek Jarman
The Lives of Others,2006,2h 17m,R,8.4,422K,89,Florian Henckel von Donnersmarck
Faust,1926,1h 47m,Not Rated,8.1,17K,,F.W. Murnau
The Age of Innocence,1993,2h 19m,PG,7.2,70K,90,Martin Scorsese
Aparajito,1956,1h 50m,Not Rated,8.2,17K,,Satyajit Ray
Rosetta,1999,1h 35m,R,7.4,16K,76,Jean-Pierre Dardenne
12 Angry Men,1957,1h 36m,Approved,9.0,904K,97,Sidney Lumet
East of Eden,1955,1h 58m,PG,7.8,50K,72,Elia Kazan
Alexander Nevsky,1938,1h 52m,Not Rated,7.5,13K,,Sergei Eisenstein
Point Blank,1967,1h 32m,Approved,7.3,24K,86,John Boorman
Fight Club,1999,2h 19m,R,8.8,2.4M,67,David Fincher
Man of Aran,1934,1h 16m,Not Rated,7.1,2.4K,,Robert J. Flaherty
Memories of Murder,2003,2h 12m,Not Rated,8.1,231K,82,Bong Joon Ho
"I, You, He, She",1974,1h 26m,,6.7,3.3K,,Chantal Akerman
Nostalgia for the Light,2010,1h 30m,Not Rated,7.6,6.3K,91,Patricio Guzmán
The Lady from Shanghai,1947,1h 27m,Approved,7.5,35K,,Orson Welles
Hannah and Her Sisters,1986,1h 47m,PG-13,7.8,78K,90,Woody Allen
Boyhood,2014,2h 45m,R,7.9,373K,100,Richard Linklater
Strangers on a Train,1951,1h 41m,PG,7.9,144K,88,Alfred Hitchcock
Picnic at Hanging Rock,1975,1h 55m,PG,7.4,43K,81,Peter Weir
The Terminator,1984,1h 47m,R,8.1,951K,84,James Cameron
Russian Ark,2002,1h 39m,Not Rated,7.2,22K,87,Aleksandr Sokurov
"The Devil, Probably",1977,1h 35m,Not Rated,7.1,5K,,Robert Bresson
The Wind Will Carry Us,1999,1h 58m,Not Rated,7.4,13K,87,Abbas Kiarostami
The Sound of Music,1965,2h 52m,G,8.1,271K,63,Robert Wise
La haine,1995,1h 38m,Not Rated,8.1,206K,,Mathieu Kassovitz
WALL·E,2008,1h 38m,G,8.4,1.2M,95,Andrew Stanton
Dead Man,1995,2h 1m,R,7.5,105K,62,Jim Jarmusch
I Walked with a Zombie,1943,1h 9m,Approved,7.0,14K,,Jacques Tourneur
Punch-Drunk Love,2002,1h 35m,R,7.3,183K,78,Paul Thomas Anderson
Satyricon,1969,2h 9m,R,6.8,18K,,Federico Fellini
Se7en,1995,2h 7m,R,8.6,1.9M,65,David Fincher
Young Mr. Lincoln,1939,1h 40m,Approved,7.5,9.4K,91,John Ford
Yellow Earth,1984,1h 29m,TV-PG,7.1,2.6K,,Kaige Chen
Doctor Zhivago,1965,3h 17m,Approved,7.9,84K,69,David Lean
The Blue Angel,1930,1h 44m,Passed,7.6,17K,90,Josef von Sternberg
Morvern Callar,2002,1h 37m,R,6.8,11K,78,Lynne Ramsay
Sambizanga,1972,1h 37m,Not Rated,7.0,866,,Sarah Maldoror
The Wedding March,1928,1h 53m,Passed,7.3,2K,,Erich von Stroheim
Brokeback Mountain,2005,2h 14m,R,7.7,396K,87,Ang Lee
Ninotchka,1939,1h 50m,Approved,7.8,24K,,Ernst Lubitsch
The French Connection,1971,1h 44m,R,7.7,140K,94,William Friedkin
Children of Men,2006,1h 49m,R,7.9,542K,84,Alfonso Cuarón
Kagemusha: The Shadow Warrior,1980,2h 42m,PG,7.9,39K,84,Akira Kurosawa
Butch Cassidy and the Sundance Kid,1969,1h 50m,PG,8.0,230K,66,George Roy Hill
The Testament of Dr. Mabuse,1933,2h 2m,Not Rated,7.9,14K,,Fritz Lang
Shadow of a Doubt,1943,1h 48m,PG,7.8,72K,94,Alfred Hitchcock
Cat People,1942,1h 13m,Approved,7.2,27K,85,Jacques Tourneur
The Master,2012,2h 18m,R,7.1,190K,86,Paul Thomas Anderson
That Obscure Object of Desire,1977,1h 43m,R,7.8,26K,84,Luis Buñuel
Laura,1944,1h 28m,Approved,7.9,53K,,Otto Preminger
The Road Warrior,1981,1h 36m,R,7.6,205K,77,George Miller
A Night at the Opera,1935,1h 36m,Approved,7.8,35K,,Sam Wood
Barton Fink,1991,1h 56m,R,7.6,131K,69,Joel Coen
Easy Rider,1969,1h 35m,R,7.2,120K,85,Dennis Hopper
Being There,1979,2h 10m,PG,7.9,80K,83,Hal Ashby
The Silence,1963,1h 36m,R,7.7,22K,,Ingmar Bergman
Land Without Bread,1933,30m,,7.3,6.4K,,Luis Buñuel
The Tale of Tales,1979,29m,,7.8,4.3K,,Yuri Norstein
Halloween,1978,1h 31m,R,7.7,320K,90,John Carpenter
The Taking of Power by Louis XIV,1966,1h 30m,G,7.1,1.7K,,Roberto Rossellini
Bigger Than Life,1956,1h 35m,Approved,7.4,8.4K,,Nicholas Ray
Gentlemen Prefer Blondes,1953,1h 31m,Approved,7.1,45K,,Howard Hawks
Grey Gardens,1975,1h 35m,PG,7.5,16K,83,Ellen Hovde
Band of Outsiders,1964,1h 35m,Not Rated,7.6,28K,93,Jean-Luc Godard
Tootsie,1982,1h 56m,PG,7.4,117K,88,Sydney Pollack
Colossal Youth,2006,2h 36m,Not Rated,6.9,1.8K,,Pedro Costa
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,2.1M,92,Peter Jackson
Jurassic Park,1993,2h 7m,PG-13,8.2,1.1M,68,Steven Spielberg
From the East,1993,1h 47m,,7.2,1K,,Chantal Akerman
Seven Chances,1925,56m,Passed,7.8,12K,,Buster Keaton
The Servant,1963,1h 56m,Unrated,7.8,15K,94,Joseph Losey
Repulsion,1965,1h 45m,Not Rated,7.6,59K,91,Roman Polanski
Roma,1972,2h,,7.3,14K,,Federico Fellini
"Crouching Tiger, Hidden Dragon",2000,2h,,7.9,286K,94,Ang Lee
Hatari!,1962,2h 37m,Approved,7.1,15K,,Howard Hawks
The Long Day Closes,1992,1h 25m,PG,7.3,4.2K,85,Terence Davies
Providence,1977,1h 44m,R,7.5,3.6K,,Alain Resnais
West Indies,1979,1h 50m,,7.1,271,,Med Hondo
Terminator 2: Judgment Day,1991,2h 17m,R,8.6,1.2M,75,James Cameron
The Round-Up,1966,1h 30m,,7.5,3.5K,,Miklós Jancsó
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000,4h 48m,,8.2,1.6K,,Jonas Mekas
Full Metal Jacket,1987,1h 56m,R,8.2,811K,78,Stanley Kubrick
Amélie,2001,2h 2m,R,8.3,810K,70,Jean-Pierre Jeunet
The Devils,1971,1h 51m,R,7.7,19K,49,Ken Russell
The Lovers on the Bridge,1991,2h 5m,R,7.6,16K,,Leos Carax
Forrest Gump,1994,2h 22m,PG-13,8.8,2.3M,82,Robert Zemeckis
Edvard Munch,1974,3h 30m,Not Rated,8.1,3.5K,,Peter Watkins
Boudu Saved from Drowning,1932,1h 25m,Not Rated,7.2,6.4K,,Jean Renoir
The Ladies Man,1961,1h 35m,Approved,6.3,4.8K,,Jerry Lewis
Scorpio Rising,1963,28m,,6.8,5.9K,,Kenneth Anger
Le cercle rouge,1970,2h 20m,Not Rated,7.9,30K,92,Jean-Pierre Melville
Shadows,1958,1h 27m,PG,7.2,13K,86,John Cassavetes
Deliverance,1972,1h 49m,R,7.6,123K,80,John Boorman
My Friend Ivan Lapshin,1985,1h 40m,,7.5,2.8K,,Aleksei German
Pink Flamingos,1972,1h 33m,NC-17,6.0,29K,47,John Waters
"Synecdoche, New York",2008,2h 4m,R,7.5,100K,67,Charlie Kaufman
Loves of a Blonde,1965,1h 28m,Not Rated,7.5,9.7K,,Milos Forman
Zodiac,2007,2h 37m,R,7.7,623K,79,David Fincher
Portrait of Jason,1967,1h 45m,Not Rated,7.0,1.5K,87,Shirley Clarke
Symbiopsychotaxiplasm: Take One,1968,1h 15m,Not Rated,7.2,2.6K,71,William Greaves
The Wicker Man,1973,1h 28m,R,7.5,98K,87,Robin Hardy
Harakiri,1962,2h 13m,Not Rated,8.6,76K,85,Masaki Kobayashi
3 Women,1977,2h 4m,PG,7.7,18K,82,Robert Altman
Alphaville,1965,1h 39m,Not Rated,7.0,29K,92,Jean-Luc Godard
The Golden Coach,1952,1h 43m,Not Rated,7.0,3.6K,,Jean Renoir
The Asphalt Jungle,1950,1h 52m,Approved,7.8,31K,85,John Huston
Bob Dylan: Dont Look Back,1967,1h 36m,Not Rated,7.9,10K,84,D.A. Pennebaker
Hour of the Wolf,1968,1h 28m,Not Rated,7.5,23K,,Ingmar Bergman
Pat Garrett & Billy the Kid,1973,2h 2m,R,7.2,22K,53,Sam Peckinpah
Fireworks,1997,1h 43m,,7.7,34K,83,Takeshi Kitano
"Dr. Mabuse, the Gambler",1922,4h 2m,Not Rated,7.8,9.4K,,Fritz Lang
Hoop Dreams,1994,2h 50m,PG-13,8.3,29K,98,Steve James
My Own Private Idaho,1991,1h 44m,R,7.0,64K,77,Gus Van Sant
Rocky,1976,2h,,8.1,650K,70,John G. Avildsen
They Live by Night,1948,1h 35m,Passed,7.4,9.7K,82,Nicholas Ray
Walkabout,1971,1h 40m,GP,7.6,28K,85,Nicolas Roeg
Rebecca,1940,2h 10m,Approved,8.1,151K,86,Alfred Hitchcock
Bring Me the Head of Alfredo Garcia,1974,1h 52m,R,7.4,22K,80,Sam Peckinpah
Frankenstein,1931,1h 10m,Approved,7.8,83K,91,James Whale
Casque d'Or,1952,1h 34m,Not Rated,7.6,6.4K,,Jacques Becker
Titanic,1997,3h 14m,PG-13,7.9,1.3M,75,James Cameron
Top Hat,1935,1h 41m,Approved,7.7,21K,93,Mark Sandrich
Xala,1975,2h 3m,Not Rated,6.7,2K,80,Ousmane Sembene
I Vitelloni,1953,1h 44m,Not Rated,7.8,21K,87,Federico Fellini
The Dark Knight,2008,2h 32m,PG-13,9.0,3M,84,Christopher Nolan
Down by Law,1986,1h 47m,R,7.6,57K,75,Jim Jarmusch
Strike,1925,1h 22m,Not Rated,7.6,8.9K,,Sergei Eisenstein
The Watermelon Woman,1996,1h 25m,Unrated,7.1,4K,74,Cheryl Dunye
The Royal Tenenbaums,2001,1h 50m,R,7.6,319K,76,Wes Anderson
The Virgin Spring,1960,1h 29m,Not Rated,8.0,32K,,Ingmar Bergman
Millennium Mambo,2001,1h 59m,R,7.0,7.3K,72,Hsiao-Hsien Hou
Scarface,1932,1h 33m,PG,7.7,31K,90,Howard Hawks
Amour,2012,2h 7m,PG-13,7.9,107K,95,Michael Haneke
